518632,0,9929,122398719,"NY",20060719,282,+00000707.08
327546,0,2299,122398719,"NY",20060526,280,+00000381.37
342944,5,5367,122398782,"NY",20060817,1688,+00000889.29
342944,5,5367,122398782,"NY",20060717,1688,+00000889.29
72526,0,9029,122398719,"NY",20060221,562,+00001681.68
234943,1,10215,122398719,"FL",20060615,288,+00000336.63
375277,2,3939,122398719,"NY",20060413,515,+00001403.40
55460,0,14582,122398719,"NY",20060413,283,+00000942.77
534991,0,14685,122398719,"CA",20060531,278,+00000529.51
493892,2,639,122398719,"NY",20060714,288,+00000475.65
216339,2,13246,122398719,"CA",20060308,282,+00000610.49
459386,1,14259,122398719,"NY",20060719,283,+00001054.05
65172,1,2697,122398719,"NY",20060813,278,+00000594.56
227605,1,15754,122399961,"FL",20051012,914,+00002242.07
99208,2,13058,122398719,"NY",20060819,1320,+00001193.37
512614,0,14145,122398719,"CA",20060815,282,+00000546.03
329846,0,4796,122398719,"FL",20060705,282,+00000738.52
32683,1,14140,122398719,"NY",20060702,282,+00000288.66
539874,4,11328,122398719,"CA",20060809,515,+00000849.21
198824,0,7879,122398719,"CA",20060413,140,+00000373.88
506925,3,336,122398719,"TX",20060802,1359,+00001667.20
85082,2,12795,122398719,"NY",20060714,282,+00000745.32
326622,2,14980,122398719,"NY",20060627,167,+00000586.01
334226,1,8576,122398719,"NY",20060801,140,+00000531.79
527147,0,15633,122398719,"NY",20060720,282,+00000499.98
180793,0,4016,122398807,"NY",20060802,1005,+00001151.15
39554,2,15582,122398719,"NY",20060710,280,+00000426.38
466770,0,8530,122398719,"NY",20060628,278,+00000531.79
373550,3,18607,122398719,"FL",20060717,1370,+00000879.01
346888,2,11072,122398719,"NY",20060515,280,+00000404.50
215051,0,9531,122398719,"CA",20060815,283,+00000772.21
131822,2,16354,122398719,"NY",20060709,282,+00000333.32
192055,3,2530,122398719,"NY",20060710,282,+00000745.32
443059,0,11769,122398719,"NY",20060725,278,+00000570.90
130267,2,13976,122398719,"NY",20060725,282,+00000745.32
114318,3,10673,122398719,"NY",20060221,96,+00000577.32
516117,0,13985,122398719,"CA",20060530,282,+00000610.49
63914,5,1671,122398719,"NY",20060629,491,+00001463.30
132180,0,10169,122398719,"FL",20060724,112,+00000870.35
535886,0,5374,122398719,"NY",20060724,169,+00000616.25
496083,1,6652,122398719,"NY",20060309,282,+00000527.02
417927,0,4189,122398719,"NY",20060626,459,+00001057.87
84480,0,1914,122398719,"NY",20060510,140,+00000475.65
463074,1,15381,122398719,"NY",20060216,280,+00000426.38
53833,1,8891,122398719,"NY",20060724,95,+00000559.56
309618,0,2258,122398719,"NY",20060307,169,+00000616.25
234766,2,18520,122398719,"FL",20060706,506,+00001310.74
301799,0,11818,122398719,"NY",20060704,96,+00000577.32
11949,1,2036,122398807,"NY",20060221,194,+00000797.69
110842,0,4766,122398807,"NY",20060801,96,+00000804.00
436091,0,15207,122398719,"NY",20060801,457,+00001220.98
51478,0,2638,122398719,"NY",20060730,698,+00002110.50
145624,0,2523,122398719,"NY",20060413,456,+00001159.02
316973,0,11050,122398719,"NY",20060706,282,+00000666.64
232127,2,16733,122398719,"FL",20060529,169,+00000878.09
191679,1,6785,122398719,"NY",20060209,1326,+00000714.89
423546,1,13017,122398719,"NY",20060221,282,+00000707.08
454135,1,6504,122398719,"FL",20060529,491,+00001340.76
440811,0,9651,122398719,"CA",20060420,278,+00000529.51
53225,5,8945,122398719,"NY",20060420,282,+00000745.32
170184,0,11468,122398719,"NY",20060704,282,+00000745.32
471310,0,10929,122398719,"CA",20060709,288,+00000386.63
251901,2,7927,122398719,"FL",20051216,297,+00000541.20
225304,1,16786,122398719,"NY",20060801,97,+00000696.28
296085,2,12671,122398719,"CA",20051216,142,+00000552.29
267110,0,18468,122398719,"NY",20051216,283,+00000971.78
343848,0,4458,122398719,"NY",20060510,282,+00000745.32
170345,0,6133,122398719,"CA",20060706,278,+00000529.51
170152,1,5562,122398719,"FL",20060706,95,+00000845.45
348889,1,9006,122398719,"NY",20060730,282,+00000745.32
