518632,0,9929,122398719,"NY",20060719,282,+00000707.08
327546,0,2299,122398719,"NY",20060526,280,+00000381.37
342944,5,5367,122398782,"NY",20060817,1688,+00000889.29
342944,5,5367,122398782,"NY",20060717,1688,+00000889.29
72526,0,9029,122398719,"NY",20060221,562,+00001681.68
234943,1,10215,122398719,"FL",20060615,288,+00000336.63
375277,2,3939,122398719,"NY",20060413,515,+00001403.40
55460,0,14582,122398719,"NY",20060413,283,+00000942.77
534991,0,14685,122398719,"CA",20060531,278,+00000529.51
493892,2,639,122398719,"NY",20060714,288,+00000475.65
